Source, Target, Weight
Alicia Spinnet, Lee Jordan, 1
Alicia Spinnet, Oliver Wood, 1
Katie Bell, Alicia Spinnet, 1
Katie Bell, Marcus Flint, 2
Katie Bell, Lee Jordan, 1
Katie Bell, Adrian Pucey, 1
Katie Bell, Oliver Wood, 1
Katie Bell, Hermione Granger, 1
Katie Bell, Rubeus Hagrid, 1
Miles Bletchley, Angelina Johnson, 1
Adrian Pucey, Marcus Flint, 1
Adrian Pucey, Katie Bell, 1
Adrian Pucey, Lee Jordan, 1
Irma Pince, Ron Weasley, 2
Irma Pince, Harry Potter, 2
Irma Pince, Nicolas Flamel, 1
Irma Pince, Hermione Granger, 2
Perenelle Flamel, Ron Weasley, 1
Perenelle Flamel, Harry Potter, 1
Perenelle Flamel, Nicolas Flamel, 1
Perenelle Flamel, Hermione Granger, 1
Ronan, Firenze, 2
Ronan, Bane, 6
Ronan, Harry Potter, 5
Ronan, Hermione Granger, 5
Ronan, Rubeus Hagrid, 12
Bane, Ron Weasley, 8
Bane, Harry Potter, 6
Bane, Prof. Dumbledore, 1
Bane, Ronan, 8
Bane, Lord Voldemort, 2
Bane, Hermione Granger, 2
Bane, Rubeus Hagrid, 3
Firenze, Ron Weasley, 2
Firenze, Bane, 9
Firenze, Harry Potter, 12
Firenze, Prof. Dumbledore, 1
Firenze, Ronan, 2
Firenze, Lord Voldemort, 2
Firenze, Rubeus Hagrid, 2
